,County Name,GDP 2018,10/2/20 Known Covid Cases
0,"Autauga, AL",1690937.0,1805
1,"Baldwin, AL",6606080.0,6024
2,"Barbour, AL",851956.0,902
3,"Bibb, AL",424510.0,675
4,"Blount, AL",942904.0,1642
5,"Bullock, AL",256130.0,612
6,"Butler, AL",632592.0,922
7,"Calhoun, AL",4428092.0,3628
8,"Chambers, AL",2218892.0,1185
9,"Cherokee, AL",554189.0,631
10,"Chilton, AL",965008.0,1624
11,"Choctaw, AL",620190.0,359
12,"Clarke, AL",902154.0,1129
13,"Clay, AL",370148.0,600
14,"Cleburne, AL",314601.0,420
15,"Coffee, AL",1598712.0,1404
16,"Colbert, AL",3066841.0,1707
17,"Conecuh, AL",418296.0,539
18,"Coosa, AL",197978.0,175
19,"Covington, AL",1288409.0,1441
20,"Crenshaw, AL",433890.0,545
21,"Cullman, AL",2810701.0,1932
22,"Dale, AL",2807124.0,1432
23,"Dallas, AL",1330950.0,1802
24,"DeKalb, AL",1932838.0,2508
25,"Elmore, AL",1902516.0,2786
26,"Escambia, AL",1270995.0,1631
27,"Etowah, AL",3153479.0,3641
28,"Fayette, AL",364749.0,474
29,"Franklin, AL",985758.0,1819
30,"Geneva, AL",560428.0,668
31,"Greene, AL",256197.0,307
32,"Hale, AL",306727.0,662
33,"Henry, AL",383534.0,523
34,"Houston, AL",4923509.0,2992
35,"Jackson, AL",1483373.0,1651
36,"Jefferson, AL",46959136.0,20442
37,"Lamar, AL",343597.0,393
38,"Lauderdale, AL",2810564.0,1787
39,"Lawrence, AL",641615.0,647
40,"Lee, AL",6818940.0,6068
41,"Limestone, AL",3717509.0,2202
42,"Lowndes, AL",440613.0,660
43,"Macon, AL",502444.0,488
44,"Madison, AL",23840512.0,8125
45,"Marengo, AL",746802.0,734
46,"Marion, AL",908475.0,987
47,"Marshall, AL",3403815.0,4004
48,"Mobile, AL",19930388.0,13641
49,"Monroe, AL",709333.0,593
50,"Montgomery, AL",14237190.0,8948
51,"Morgan, AL",5631419.0,3389
52,"Perry, AL",197656.0,543
53,"Pickens, AL",420382.0,676
54,"Pike, AL",1417893.0,1227
55,"Randolph, AL",463437.0,682
56,"Russell, AL",1678883.0,1807
57,"St. Clair, AL",1994734.0,2414
58,"Shelby, AL",11594728.0,6266
59,"Sumter, AL",345945.0,437
60,"Talladega, AL",3170485.0,2201
61,"Tallapoosa, AL",1347920.0,1181
62,"Tuscaloosa, AL",9793605.0,9099
63,"Walker, AL",2279488.0,2403
64,"Washington, AL",930752.0,563
65,"Wilcox, AL",423124.0,535
66,"Winston, AL",778730.0,759
67,"Aleutians East Borough, AK",222998.0,3
68,"Aleutians West Census Area, AK",402763.0,8
69,"Anchorage Municipality, AK",22478484.0,4533
70,"Bethel Census Area, AK",694275.0,118
71,"Bristol Bay Borough, AK",147230.0,0
72,"Denali Borough, AK",261017.0,10
73,"Dillingham Census Area, AK",282398.0,9
74,"Fairbanks North Star Borough, AK",6310217.0,1193
75,"Haines Borough, AK",113739.0,5
76,"Hoonah-Angoon Census Area, AK",85789.0,24
77,"Juneau City and Borough, AK",2523878.0,297
78,"Kenai Peninsula Borough, AK",2992735.0,462
79,"Ketchikan Gateway Borough, AK",927658.0,50
80,"Kodiak Island Borough, AK",814784.0,28
81,"Kusilvak Census Area, AK",165689.0,14
82,"Lake and Peninsula Borough, AK",101587.0,28
83,"Matanuska-Susitna Borough, AK",2594409.0,639
84,"Nome Census Area, AK",443247.0,82
85,"North Slope Borough, AK",7611135.0,142
86,"Northwest Arctic Borough, AK",693815.0,131
87,"Petersburg Borough, AK",177500.0,8
88,"Prince of Wales-Hyder Census Area, AK",226033.0,32
89,"Sitka City and Borough, AK",511852.0,53
90,"Skagway Municipality, AK",98293.0,0
91,"Southeast Fairbanks Census Area, AK",635523.0,28
92,"Valdez-Cordova Census Area, AK",2777388.0,79
93,"Wrangell City and Borough, AK",97029.0,13
94,"Yakutat City and Borough, AK",32592.0,0
95,"Yukon-Koyukuk Census Area, AK",310007.0,83
96,"Apache, AZ",2983095.0,3573
97,"Cochise, AZ",4910034.0,1918
98,"Coconino, AZ",7718197.0,4230
99,"Gila, AZ",2053238.0,1425
100,"Graham, AZ",1234253.0,869
101,"Greenlee, AZ",1656478.0,59
102,"La Paz, AZ",669904.0,548
103,"Maricopa, AZ",247622640.0,142566
104,"Mohave, AZ",5689377.0,4033
105,"Navajo, AZ",3824492.0,5810
106,"Pima, AZ",44876056.0,25784
107,"Pinal, AZ",7589136.0,10685
108,"Santa Cruz, AZ",1916776.0,2877
109,"Yavapai, AZ",7222136.0,2590
110,"Yuma, AZ",8331269.0,12796
111,"Arkansas, AR",1102976.0,443
112,"Ashley, AR",1081422.0,447
113,"Baxter, AR",1274823.0,390
114,"Benton, AR",14336028.0,6807
115,"Boone, AR",1300815.0,787
116,"Bradley, AR",373396.0,345
